6.07289 3.04991
6.00151 3.03162
6.00266 3.08772
6.02751 3.01386
6.07918 3.04947
6.06314 3.0374
6.14693 3.09679
6.14031 3.01354
6.0272 3.09508
6.11061 3.09433
6.12591 3.05649
6.12791 3.0765
6.07504 3.08343
6.02089 3.00793
6.01353 3.0491
6.04189 3.09252
6.19612 3.06696
6.11635 3.07943
6.00934 3.05803
6.0149 3.01601
6.08698 3.05938
6.02803 3.08989
6.19574 3.09297
6.07856 3.02893
6.06335 3.09869
6.00857 3.01701
6.05595 3.04034
6.13474 3.02396
6.03549 3.01284
6.01402 3.06356
6.17402 3.03542
6.00696 3.07792
6.09534 3.00712
6.18065 3.08042
6.00091 3.02177
6.14591 3.03198
6.10977 3.00368
6.16345 3.05179
6.1039 3.08364
6.00163 3.03371
6.11493 3.01349
6.02936 3.00544
6.11136 3.09629
6.14331 3.05682
6.15758 3.09919
6.00793 3.02814
6.14 3.01492
6.1625 3.00299
6.1673 3.03545
6.11847 3.00073
6.16228 3.09394
6.0318 3.09805
6.18006 3.00689
6.14629 3.04553
6.15208 3.07262
6.16172 3.0364
6.18439 3.05446
6.00833 3.08826
6.11362 3.00142
6.11408 3.08449
6.01527 3.07777
6.15144 3.0812
6.14651 3.00338
6.15837 3.05755
6.09673 3.01169
6.19043 3.0294
6.03379 3.02621
6.06003 3.00707
6.05665 3.09613
6.19575 3.02677
6.00655 3.0975
6.13726 3.06237
6.02959 3.04072
6.08741 3.03376
6.04101 3.04571
6.1573 3.07433
6.11864 3.05076
6.15882 3.04864
6.00053 3.04376
6.00446 3.05163
6.18373 3.05531
6.07106 3.09563
6.10751 3.02037
6.04256 3.05114
6.02786 3.07354
6.19099 3.07311
6.0042 3.09265
6.06057 3.08129
6.06487 3.04448
6.18247 3.08315
6.15674 3.0346
6.13203 3.01661
6.00884 3.09397
6.18841 3.04435
6.00377 3.03399
6.05977 3.0616
6.19278 3.03443
6.13726 3.01705
6.15922 3.0984
6.0618 3.04915
